strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
JU2467	False	JU2464	Ag. cal 5		False	JU	20160408	-13.1550000	-72.5250000	2073.39	None	Rotting fruit	None	L. Frezal	L. Lokmane	2013-01-01	Only month/year (January 2013) is known	From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal. Line started from an adult on 9 Jan 2013.	Aguas Calientes
JU2468	False	JU2464	Ag. cal 1		False	JU	20160408	-13.1550000	-72.5250000	2073.39	None	Rotting fruit	None	L. Frezal	L. Lokmane	2013-01-01	Only month/year (January 2013) is known	From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult on 9 Jan 2013.	Aguas Calientes
JU2466	True	JU2466	ollanta 3A1		False	JU	20160408	-13.2570000	-72.2660000	2867.39	None	Rotting fruit	None	L. Frezal	L. Lokmane	2013-01-01	Only month/year (January 2013) is known	From a rotting lemon collected by Ludmilla Lokmane in Ollanta (Peru; -13.266085, -72.179351) in Jan 2013. Isolated by Lise Frézal. Line started from an adult isolated on 9 Jan 2013	Ollantaytambo
JU2478	True	JU2478	Brux1		False	JU	20170531	50.8500000	4.3510000	18.1172	Urban garden	Compost	None	M.-A. Félix	None	2013-02-01	Only month/year (February 2013) is known	Isolated from Denis Thieffry’s compost heap in Brussels, Belgium in Feb 2013	Brussels
JU2513	True	JU2513	G6.1		False	JU	20160408	38.2601600	22.0736000	1.25369	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2013-05-07	None	Isolated from a rotting orange sampled by MAF near Aigio, Greece on 7 May 2013. 38.26016, 22.0736	
JU2519	True	JU2519	L13-5.3		False	JU	20160408	38.7175000	-9.1486000	65.9672	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2013-08-25	None	Isolated from rotten Ficus isophlebia fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2520-1. Same tree as JU778-81	Lisbon
JU2522	True	JU2522	None		False	JU	20160408	38.7175000	-9.1486000	65.9672	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2013-08-25	None	Isolated from rotten fruits of Harpephyllum caffrum (Anacardiaceae) sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a young adult on 27 Aug. Same sample as JU2523. Same tree as JU775-7	Lisbon
JU2526	True	JU2526	L13-7.9		False	JU	20160408	38.7175000	-9.1486000	65.9672	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2013-08-25	None	Isolated from rotten fruits of Chrysophyllum imperiale sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2524-5.	Lisbon
JU2534	True	JU2534	None		False	JU	20170531	49.3579210	0.0970870	42.7094	None	Fruit	None	S. Marsh	S. Marsh	2013-06-09	None	None	Deauville
JU2565	True	JU2565	None		False	JU	20170531	44.9583940	1.0662130	214.801	None	Rotting fruit	None	L. Frézal	T. Bélicard	2013-10-05	None	None	Tursac
JU2566	True	JU2566	parc5		False	JU	20170531	48.8388600	2.4459900	52.8822	Botanical garden zoo	Rotting stem	None	L. Frézal	M.-A. Félix	2013-10-02	None	None	Paris
JU2570	True	JU2570	niort 7.2		False	JU	20170531	46.2657000	-0.2685000	87.9296	None	Rotting nut	None	L. Frézal	F. Besnard	2013-11-13	None	None	Beaussais
JU2572	True	JU2572	i6-3		False	JU	20170531	48.8125700	2.3953720	32.7215	None	Rotting stem	None	S. Marsh	None	2013-10-01	None	None	Ivry-sur-Seine
JU2575	True	JU2575	CR37.1		False	JU	20170531	49.0857000	3.0707000	55.5148	None	Rotting stem	None	M.-A. Félix	M.-A. Félix & S. Marsh	2013-10-26	None	Isolated from rotting Heracleum stem sampled by Sarah Marsh and MAF on 26 Oct 2013 near Crouy-sur-Ourcq (Seine-et-Marne), France. Isogenic line started from an adult isolated on 26 Oct. GPS 49.0857, 3.0707.	Coulombs-en-Valois
JU2576	True	JU2576	CR38.1		False	JU	20170531	49.0861000	3.0720000	56.5188	None	Rotting stem	None	M.-A. Félix	S. Marsh & M.-A. Félix	2013-10-26	None	None	Coulombs-en-Valois
JU2578	True	JU2578	Bagn.3		False	JU	20170531	48.8761300	2.4315000	116.368	Botanical garden zoo	Compost	None	M.-A. Félix	M.-A. Félix	2013-10-27	None	None	Bagnolet
JU258	True	JU258	M 1.1		False	CGC	20160408	32.7300000	-16.8900000	1041.03	Agricultural land	Soil	None	M.-A. Félix	M.-A. Félix	2001-10-01	None	From Madeira Island, Portugal, Oct 01. Ribeiro Frio 1.1. Along a path through an orchard.	
JU2581	True	JU2581	B13_28.2		False	JU	20170531	46.6000000	1.1000000	109.167	Urban garden	Fruit	None	M.-A. Félix	M.-A. Félix	2013-11-03	None	None	Chalais
JU2586	True	JU2586	Poire3.1		False	JU	20170531	48.8970000	2.1590000	35.4567	None	Rotting fruit	None	L. Frézal	A. Zalmanski	2013-11-11	None	None	Chatou
JU2587	True	JU2587	None		False	JU	20170531	45.0267130	3.8720160	660.597	None	Compost	None	A. Richaud	A. Richaud	2013-11-10	None	None	Vals-près-le-Puy
JU2592	True	JU2592	plu5.6		False	JU	20170531	48.6285580	-2.4038360	44.0588	None	Rotting fruit	None	L. Frézal	None	2013-11-11	None	None	Fréhel
JU2593	True	JU2593	OB1.4		False	JU	20170531	48.8225560	2.2223340	80.0156	None	Compost	None	L. Frézal	None	2013-01-01	Only year (2013) information is known.	None	Sèvres
JU1924	False	JU2600	S73.1.1		False	JU	20170531	49.1260400	1.9511400	64.6535	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-10-25	None	None	Bréançon
JU2151	False	JU2600	S173.17.1		False	JU	20170531	49.1210000	1.9510000	55.5739	Forest	Rotting stem	None	M.-A. Félix	M.-A. Félix	2011-10-31	None	None	Bréançon
JU2600	True	JU2600	S333.1		False	JU	20170531	49.1242000	1.9496000	53.4906	None	Rotting fruit	None	M.-A. Félix	S. Marsh & M.-A. Félix	2013-11-20	None	None	Bréançon
JU3138	False	JU2600			False	JU	20170531	49.1269000	1.9595000	88.0359	Rural garden	Rotting stem	None	M.-A. Félix	M.-A. Félix	2011-11-07		None	Bréançon
JU2610	True	JU2610	Wy5.2		False	JU	20170531	49.1075000	1.7915000	129.807	None	Rotting fruit	None	M.-A. Félix	S. Marsh & M.-A. Félix	2013-11-20	None	None	Magny-en-Vexin
JU2619	True	JU2619	SB01; SB13-1; SB13-01;		False	JU	20170531	32.9983520	-117.2754280	20.6715	None	Compost	None	M.-A. Félix	S. Marsh	2014-01-01	Only month/year (January 2014) is known.	Isolated from compost from Solana Beach (32.998352, -117.275428), California by Sarah Marsh in January 2014.	Solana Beach
JU2800	True	JU2800	Ca4.1		False	JU	20170531	48.7900000	2.3310000	46.7257	None	Rotting fruit	None	M.-A. Félix	M. Casado	2014-09-01	only year and month (September 2014) are known	None	Cachan
JU2802	False	JU2800	None		False	JU	20170531	48.9067000	2.1416700	46.4557	Rural garden	Rotting fruit	None	F. Besnard	F. Besnard	2014-09-14	None	None	Montesson
JU2811	True	JU2811	Syd 2.2		False	JU	20170531	-33.8632000	151.2194530	4.90634	Botanical garden zoo	Rotting fruit	None	S. Marsh	S. Marsh	2014-09-24	None	None	Sydney
JU2825	True	JU2825	MI-11-14-5.1		False	JU	20170531	48.8092000	2.3862000	45.08	None	Rotting stem	None	R. Luallen	None	2014-11-14	None	None	Ivry-sur-Seine
JU2828	False	JU2829	B10_6.1		False	JU	20170531	46.6320000	1.0640000	79.7723	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2010-10-03	None	None	Le Blanc
JU2829	True	JU2829	B10_6.2		False	JU	20170531	46.6320000	1.0640000	79.7723	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2010-10-03	None	None	Le Blanc
JU2830	False	JU2829	B10_6.3		False	JU	20170531	46.6320000	1.0640000	79.7723	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2010-10-03	None	None	Le Blanc
JU2838	True	JU2838	Puebla2		False	JU	20170531	20.2059610	-97.9883200	1302.25	None	Rotting fruit	None	A. Velazquez	A. Velazquez	2015-01-01	None	1300 m elevation	Tenango de las Flores
JU2841	True	JU2841	None		False	JU	20170531	None	None	None	None	Slug	None	M. Wilson	M. Wilson	2015-03-01	only year and month (March 2015) is known	None	
JU2853	True	JU2853	Port 1.1		False	JU	20170531	41.1900000	-7.5450000	82.0516	None	Soil	None	M.-A. Félix	M. Félix & B. Félix	2015-05-01	only year and month (May 2015) is known	None	Pinhão
JU2862	True	JU2862	Cam7.3		False	JU	20170531	52.1944000	0.1264000	16.3956	Botanical garden zoo	Rotting plant	None	M.-A. Félix	M.-A. Félix	2015-06-06	None	None	Cambridge
JU2866	True	JU2866	U4.6		False	JU	20170531	34.0751000	-118.4409000	139.602	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2015-06-28	None	None	Los Angeles
JU2878	True	JU2878	Berry-Mexico		False	JU	20170531	19.2973200	-99.0987690	2238.97	Botanical garden zoo	Rotting fruit	None	A. Velazquez	A. Velazquez	2015-07-02	None	2400 m elevation	Ciudad de México
JU2879	True	JU2879	Apple-Mexico		False	JU	20170531	19.2973200	-99.0987690	2238.97	Botanical garden zoo	Rotting fruit	None	A. Velazquez	A. Velazquez	2015-07-02	None	2400 m elevation	Ciudad de México
JU2906	True	JU2906	F10.3		False	JU	20170531	43.8023000	11.2806000	86.5081	Urban garden	Rotting stem	None	M.-A. Félix	M.-A. Félix	2015-12-13	None	None	Florence
JU2907	True	JU2907	F13.2		False	JU	20170531	43.8021000	11.2906000	165.028	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2015-12-13	None	None	Fiesole
JU2908	False	JU2907	F16.2		False	JU	20170531	43.8063000	11.2839000	142.775	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2015-12-13	None	None	Fiesole
JU1026	False	JU310	PIB1		False	JU	20160408	46.6300000	1.0600000	95.5796	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2006-10-15	None	Isolated from rotting plums sampled below their tree on 15 Oct 2006 in Le Blanc (Indre, France). Sample plated on 16 Oct 2006. Picked as an adult on 16 Oct 2006.	Le Blanc
JU1037	False	JU310	PIF2		False	JU	20160408	46.6300000	1.0600000	95.5796	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2006-10-15	None	Isolated from rotting plums sampled below their tree on 15 Oct 2006 in Le Blanc (Indre, France). Sample plated on 16 Oct 2006. Picked as an adult on 16 Oct 2006.	Le Blanc
JU1039	False	JU310	PrA4		False	JU	20160408	46.6300000	1.0600000	95.5796	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2006-10-15	None	Isolated from rotting pears sampled below their tree on 15 Oct 2006 in Le Blanc (Indre, France). Sample plated on 16 Oct 2006. Picked as a (sick, only one progeny) adult on 18 Oct 2006.	Le Blanc
JU1040	False	JU310	PrB1		False	JU	20160408	46.6300000	1.0600000	95.5796	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2006-10-15	None	Isolated from rotting pears sampled below their tree on 15 Oct 2006 in Le Blanc (Indre, France). Sample plated on 16 Oct 2006. Picked as an adult on 18 Oct 2006.	Le Blanc
JU1204	False	JU310	L1A1A		False	JU	20160408	46.6300000	1.0600000	95.5796	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2007-09-11	None	Isolated by MAF from a rotting plum collected by M. and B. Félix on 11 Sep 07 below the plum tree above the compost heap in Le Blanc, France. Same plum as JU1205-6, same plum tree as JU1026-1037.	Le Blanc
JU1206	False	JU310	L1A3G		False	JU	20160408	46.6300000	1.0600000	95.5796	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2007-09-11	None	Isolated by MAF from a rotting plum collected by M. and B. Félix on 11 Sep 07 below the plum tree above the compost heap in Le Blanc, France. Same plum as JU1204-5, same plum tree as JU1026-1037.	Le Blanc
JU262	False	JU310	B 2.2		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2001-11-03	None	Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU263.	Le Blanc
JU263	False	JU310	B 2.1		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2001-11-03	None	Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU262.	Le Blanc
JU299	False	JU310	LB14.4		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU300	False	JU310	LB14.11		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU301	False	JU310	LB14.2		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU302	False	JU310	LB14.3		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU303	False	JU310	LB14.1		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU305	False	JU310	LB14.7		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU306	False	JU310	LB14.6		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU307	False	JU310	LB14.13		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU309	False	JU310	LB14.8		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU310	True	JU310	LB14.10		False	JU	20160408	46.6300000	1.0600000	95.5796	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2002-08-25	None	Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.	Le Blanc
JU438	False	JU310	None		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2003-06-01	None	Isolated on the 01 June 03 at Hermanville (Calvados), France - soil near a snail, in the garden.	Hermanville-sur-Mer
JU311	True	JU311	F5.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from snail tube - snails coming from under a tree full of ivy	Vallon-Pont-d'Arc
JU312	False	JU311	F5.2		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from snail tube - snails coming from under a tree full of ivy	Vallon-Pont-d'Arc
JU313	False	JU311	F5.3		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from snail tube - snails coming from under a tree full of ivy	Vallon-Pont-d'Arc
JU314	False	JU311	F2.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. Helix snails, under the tree full of ivy.	Vallon-Pont-d'Arc
JU315	False	JU311	F3.1		False	JU	20160408	44.2000000	4.4000000	223.872	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From Pomatias elegans (?) snails	Goudargues
JU316	False	JU311	F3.2		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	None	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From Pomatias elegans (?) snails.	Vallon-Pont-d'Arc
JU317	False	JU311	F4.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	None	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From snail Oxychilus sp. (destroyed during sampling)	Vallon-Pont-d'Arc
JU318	False	JU311	F6.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	None	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From soil under a tree full of ivy.	Vallon-Pont-d'Arc
JU319	False	JU311	F6.2		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	None	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02.From soil under a tree full of ivy.	Vallon-Pont-d'Arc
JU321	False	JU311	F9.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	None	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From soil under a tree full of ivy.	Vallon-Pont-d'Arc
MY2481	False	JU311	None		False	MY	20170531	54.3463550	10.1177370	22.4065	Botanical garden zoo	Compost	None	C. Petersen	C. Petersen	2012-11-21	None	None	Kiel
JU3125	True	JU3125	S7.1		False	JU	20170531	38.1127000	13.3722000	10.7926	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2016-04-20	None	None	Palermo
JU3127	True	JU3127	S9.1		False	JU	20170531	38.1119600	13.3727400	10.85	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2016-04-20	None	None	Palermo
JU3128	True	JU3128	S18.1		False	JU	20170531	37.0760000	15.2763000	21.2582	None	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2016-04-23	None	None	Syracuse
JU3132	True	JU3132			False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2011-10-10		None	Saclay
JU3134	True	JU3134			False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2011-11-11		None	Saclay
JU3135	True	JU3135			False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	None	no date is provided	None	Saclay
JU3137	True	JU3137			False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2014-10-20		None	Saclay
JU3140	True	JU3140			False	JU	20170531	48.7100000	-3.8100000	28.2333	Rural garden	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-08-09		None	Saint-Jean-du-Doigt
JU3144	True	JU3144			False	JU	20170531	6.1800000	10.5200000	2735.54	Mountain	Leaf litter	None	M.-A. Félix	J. David	2016-05-01	only month and year are known	None	
JU322	False	JU323	D1.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	None	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Helix snail #1 on the trunk of a mulberry tree (not the same snail as JU323).	Vallon-Pont-d'Arc
JU323	True	JU323	D3.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	None	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Helix snail #3 on the trunk of a mulberry tree (not the same snail as JU322).	Vallon-Pont-d'Arc
JU342	False	JU323	D4.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from the snail tube (mulberry tree).	Vallon-Pont-d'Arc
JU347	False	JU323	C1.1		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Pomatias elegans (?) snail, under the mulberry tree.	Salavas
JU3131	False	JU323			False	JU	20170531	48.7015000	2.1725000	65.7882	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2008-10-23		None	Saclay
JU346	True	JU346	G1.5		False	JU	20160408	44.4200000	4.4000000	147.516	Rural garden	Isopod	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU342, JU343, JU344).	Goudargues
JU345	False	JU346	G1.3		False	JU	20170531	44.4200000	4.4000000	147.516	Rural garden	Isopod	None	M.-A. Félix	M.-A. Félix	2002-09-08	None	Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU343, JU344, JU346).	Vallon-Pont-d'Arc
JU360	True	JU360	PB1.2		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU362	False	JU360	PB2.1		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU363	False	JU360	PB1.1		False	CGC	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU364	False	JU360	PB2.3		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU366	False	JU360	PB4.1		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU368	False	JU360	PB2.5		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU369	False	JU360	PB2.4		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU370	False	JU360	PB4.2		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU801	False	JU360	E1.2		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	A. Barrière	C. Pieau	2005-07-19	None	None	Franconville
JU361	False	JU367	PB2.X		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU367	True	JU367	PB3.1		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU371	False	JU367	PA3.1		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2002-09-16	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.	Franconville
JU692	False	JU367	CP4.2		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2005-04-06	None	Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 06 Apr 05	Franconville
JU693	False	JU367	CP8.1		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2005-04-06	None	None	Franconville
JU694	False	JU367	CP10.1		False	JU	20160408	48.9800000	2.2300000	93.9488	Urban garden	Compost	None	M.-A. Félix	C. Pieau	2005-04-06	None	NA	Franconville
JU393	True	JU393	HC1.2		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU394	True	JU394	HC2.1		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU399	False	JU394	HC3.1		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU400	False	JU394	HC3.2		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU397	True	JU397	HC6.1		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU398	False	JU397	HC4.3		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU401	False	JU397	HC4.4		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02.	Hermanville-sur-Mer
JU402	False	JU397	HC5.1		False	JU	20160408	49.2800000	-0.3200000	15.897	Rural garden	Compost	None	A. Barrière	A. Barrière	2002-09-01	Only month/year (Sep. 2002) known	Hermanville (Calvados), France - compost pile, Sep 02	Hermanville-sur-Mer
