strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
JU1200	True	JU1200	TP		False	JU	20160408	55.5770000	-4.6000000	32.2207	Rural garden	Compost	None	T. Page	T. Page	2007-08-01	None	Isolated by Tony Page from a compost heap sample recovered on 1 Aug 2007 in SouthWest Scotland 4°36.0’ West 55°34.6’ North.	Dundonald
JU2860	False	JU1200	Cam4.2		False	JU	20170531	52.1984200	0.1153650	11.0753	Rural garden	Rotting fungus	None	M.-A. Félix	M.-A. Félix	2015-06-06	None	None	Cambridge
JU1207	False	JU1212	1.1.1		False	JU	20160408	48.7100000	-3.8100000	28.2333	Rural garden	Rotting flower	None	M.-A. Félix	M.-A. Félix	2007-09-24	None	Isolated by MAF from a rotting arum stem collected on 24 Sep 07 behind the water reservoir in Primel, France.	Plougasnou
JU1212	True	JU1212	1.4.1		False	JU	20160408	48.7100000	-3.8100000	28.2333	Rural garden	Rotting flower	None	M.-A. Félix	M.-A. Félix	2007-09-24	None	Isolated by MAF from a rotting arum stem collected on 24 Sep 07 behind the water reservoir in Primel, France.	Plougasnou
JU1214	False	JU1212	H.2.1		False	JU	20160408	48.7100000	-3.8100000	28.2333	Rural garden	Snail	None	M.-A. Félix	M.-A. Félix	2007-09-24	None	Isolated by MAF from a Helix snail collected on 24 Sep 07 in the wild strawberry patch below the house in Primel, France.	Plougasnou
JU1213	True	JU1213	6.2.1		False	JU	20160408	48.7100000	-3.8100000	28.2333	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2007-09-24	None	Isolated by MAF from a rotting apple collected on 24 Sep 07 in Primel, France.	Plougasnou
JU1482	False	JU1213	P6.1.3		False	JU	20160408	48.7050000	-3.7952000	33.7465	Wet shrubland	Leaf litter	None	M.-A. Félix	M.-A. Félix	2008-08-02	None	Isolated from rotting Tamus communis leaves sampled on 2 August 2008 below Sainte-Barbe, Plougasnou (Finistère). Dense proliferating population at plating on 6 Aug 2008. Adult isolated on 7 Aug.	Plougasnou
JU531	False	JU1213	P4D6		False	JU	20160408	48.7100000	-3.8100000	28.2333	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2004-10-03	None	Isolated from compost heap in Primel-Trégastel (Finistère, France), 03 Oct 04. Picked as adult on 6 Oct 04.	Plougasnou
JU533	False	JU1213	P4D8		False	JU	20160408	48.7100000	-3.8100000	28.2333	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2004-10-03	None	Isolated from compost heap in Primel-Trégastel (Finistère, France), 03 Oct 04. Picked as adult on 6 Oct 04.	Plougasnou
JU1656	False	JU1213	P09-19.3		False	JU	20170531	48.7250180	-3.9721040	1.31828	Wet shrubland	Leaf litter	None	M.-A. Félix	M.-A. Félix	2009-07-14	None	None	Roscoff
JU1762	False	JU1213	P142.6.1		False	JU	20170531	48.6955480	-3.7900330	72.9195	Wet shrubland	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-08-16	None	None	Saint-Jean-du-Doigt
JU1770	False	JU1213	P132.4.1		False	JU	20170531	48.6955480	-3.7900330	72.9195	Wet shrubland	Rotting stem	None	M.-A. Félix	M.-A. Félix	2009-08-16	None	None	Saint-Jean-du-Doigt
JU1218	False	JU1242	6.1.1		False	JU	20160408	49.1269000	1.9595000	88.0359	Rural garden	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2007-10-14	None	Isolated from a rotting apple (#6) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 (same 'wild-growing' apple tree in hedge as apple #7, which had disappeared in 2009). L1 stage on 15 Oct. Not bleached.	Marines
